,CLIENTNUM,Current_customer,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Current_customer_Num
0,7152,y,45,1,3,3,1,2,0,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,1
1,9812,y,49,0,5,2,2,4,0,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,1
2,3053,y,51,1,3,2,1,3,0,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,1
3,7204,y,40,0,4,3,3,4,0,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,1
4,501,y,40,1,3,5,1,2,0,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,1
5,2544,y,44,1,2,2,1,1,0,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,1
6,9493,y,51,1,4,6,1,0,1,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,1
7,9818,y,32,1,0,3,3,2,3,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,1
8,1401,y,37,1,3,5,2,2,0,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,1
9,5893,y,48,1,2,2,2,3,0,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,1
10,335,y,42,1,5,5,3,0,0,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,1
11,1346,y,65,1,1,6,1,1,0,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,1
12,1216,y,56,1,1,0,2,3,0,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,1
13,9701,y,35,1,3,2,3,2,0,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,1
14,2177,y,57,0,2,2,1,4,0,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,1
15,3552,y,44,1,4,6,3,3,0,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,1
16,915,y,48,1,4,4,2,3,0,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,1
17,6909,y,41,1,3,6,1,3,0,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,1
18,9325,y,61,1,1,3,1,1,0,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,1
19,612,y,45,0,2,2,1,5,0,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,1
20,9326,y,47,1,1,1,0,2,0,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,1
21,195,n,62,0,0,2,1,4,0,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0
22,8261,y,41,1,3,3,1,1,0,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,1
23,9522,y,47,0,4,6,2,4,0,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,1
24,8612,y,54,1,2,6,1,3,0,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,1
25,7290,y,41,0,3,2,2,4,0,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,1
26,6293,y,59,1,1,3,3,1,0,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,1
27,9279,y,63,1,1,6,1,2,0,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,1
28,5489,y,44,0,3,5,2,5,0,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,1
29,9343,y,47,1,4,3,1,1,0,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,1
30,7672,y,53,1,3,6,1,3,0,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,1
31,2505,y,53,1,2,5,1,2,0,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,1
32,463,y,41,1,4,2,1,2,0,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,1
33,8455,y,53,0,2,0,1,4,0,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,1
34,8404,y,58,1,0,2,1,3,0,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,1
35,3800,y,55,0,1,0,2,4,0,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,1
36,3041,y,55,0,3,2,1,4,0,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,1
37,8294,y,42,0,4,3,1,4,1,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,1
38,3732,y,57,0,1,2,3,1,0,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,1
