,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Revolving_Bal,Contacts_Count_12_mon,Avg_Utilization_Ratio,Total_Relationship_Count,Months_Inactive_12_mon,Current_customer
4372,32,0.28,2517,3,0.43,6,3,n
2682,65,0.912,1990,2,0.085,3,1,y
3977,91,0.717,1377,2,0.062,3,3,y
10021,74,0.609,2517,4,0.575,4,1,n
6870,47,0.516,0,3,0.0,3,2,n
5738,50,0.667,0,3,0.0,5,3,n
7755,55,0.618,0,2,0.0,3,3,n
9114,97,0.732,2151,1,0.125,2,2,y
2807,74,0.574,0,4,0.0,5,3,y
9250,63,0.853,2517,5,0.539,6,3,n
4676,39,0.444,0,2,0.0,1,2,n
4116,42,0.312,458,1,0.318,1,3,n
2634,73,0.622,2016,2,0.415,4,3,y
8174,73,0.698,0,3,0.0,2,2,y
1080,54,0.862,1733,3,0.067,3,2,y
193,52,0.529,1676,0,0.078,3,3,y
4624,39,0.5,0,3,0.0,5,2,n
240,30,0.667,2517,3,0.88,2,3,n
6978,36,0.385,1461,2,0.239,5,2,n
5298,84,0.826,1739,4,0.474,5,1,y
4754,43,0.72,0,2,0.0,5,2,n
5645,91,0.784,0,2,0.0,6,2,y
5731,41,0.64,0,3,0.0,3,3,n
9693,64,0.684,0,3,0.0,3,2,n
4402,47,0.621,1107,3,0.634,2,3,n
5295,68,0.619,1452,2,0.601,5,2,y
7372,38,0.52,0,2,0.0,4,3,n
1748,35,0.591,917,2,0.228,5,2,y
2419,33,0.833,1135,5,0.524,3,2,y
2315,65,0.585,1551,4,0.698,5,2,y
6816,75,0.744,1828,1,0.767,4,2,y
4142,23,0.211,2517,4,0.134,3,4,n
9480,116,0.812,1555,2,0.082,2,2,y
276,18,1.0,0,2,0.0,1,1,n
5302,67,0.914,2376,4,0.09,5,2,y
4005,30,0.25,0,3,0.0,3,2,n
7324,36,0.714,644,4,0.382,1,2,n
10002,110,0.642,1491,3,0.056,5,3,y
4406,28,0.4,0,4,0.0,2,3,n
4740,43,0.654,0,6,0.0,3,3,n
8198,87,0.776,2517,1,0.894,1,3,y
4448,81,0.653,0,3,0.0,6,4,y
3531,76,0.767,0,3,0.0,5,1,y
7678,77,0.54,1486,2,0.591,6,3,y
8200,45,0.607,1166,3,0.492,6,6,n
6900,46,0.438,2517,3,0.766,3,4,n
6312,43,0.955,0,2,0.0,5,3,n
8085,36,0.8,0,4,0.0,4,2,n
455,20,0.429,0,3,0.0,1,3,n
1447,46,0.769,1792,3,0.317,4,3,y
5819,61,0.605,1225,2,0.093,3,2,y
1456,31,0.348,2281,2,0.669,5,1,y
8815,82,0.608,1257,3,0.477,1,1,y
8992,54,0.742,1381,1,0.098,4,3,n
8339,29,0.318,1046,3,0.223,1,3,n
5703,91,0.685,1491,2,0.62,3,1,y
2727,57,0.966,0,4,0.0,4,2,y
9762,106,0.797,2122,3,0.633,2,2,y
5165,39,0.444,0,4,0.0,3,2,n
8515,82,0.673,996,1,0.577,1,3,y
9789,124,0.797,2068,3,0.208,1,3,y
4796,46,0.643,0,4,0.0,6,3,n
9297,112,0.806,1783,0,0.081,1,3,y
6013,44,0.257,0,3,0.0,3,3,n
3922,37,0.321,0,2,0.0,3,2,n
8148,40,0.429,0,3,0.0,1,4,n
7287,48,0.655,2139,3,0.399,2,3,n
1043,20,0.818,0,3,0.0,6,2,n
4954,54,0.543,1503,3,0.669,6,3,y
9551,79,0.837,0,3,0.0,2,3,n
8532,42,0.355,0,3,0.0,1,2,n
5360,81,0.653,0,3,0.0,4,3,y
9523,117,0.746,2437,1,0.641,2,1,y
7620,77,0.711,0,2,0.0,4,2,y
8236,44,0.63,1348,4,0.446,6,3,n
7395,45,0.552,2517,2,0.697,4,3,n
9221,71,0.868,2292,3,0.066,5,3,n
3691,81,0.723,774,3,0.093,3,2,y
6731,57,0.839,0,3,0.0,5,3,n
5772,49,0.485,457,1,0.253,4,3,n
10093,119,0.7,0,2,0.0,2,2,y
3203,58,1.071,1079,2,0.149,4,1,y
9885,116,0.758,1984,1,0.057,3,1,y
3808,49,0.581,0,4,0.0,1,3,n
7387,49,0.69,0,3,0.0,6,5,n
8199,48,0.714,330,4,0.031,5,5,n
5900,73,0.587,1340,1,0.598,5,2,y
8378,41,0.464,0,2,0.0,4,3,n
2359,31,0.348,2517,2,0.779,5,1,y
4916,44,0.517,458,4,0.31,6,2,n
8459,74,0.609,1649,3,0.618,1,6,y
2489,51,0.821,1287,3,0.519,5,3,y
5570,67,0.811,1686,4,0.65,5,2,y
4422,75,0.744,1885,4,0.242,4,2,y
2600,57,0.676,0,4,0.0,5,1,y
7493,31,0.292,0,3,0.0,3,2,n
5397,33,0.435,1327,5,0.785,4,3,n
3997,70,0.458,548,2,0.097,3,3,y
9372,109,0.758,1277,3,0.104,1,2,y
6927,42,0.4,0,4,0.0,4,3,n
6326,45,0.552,484,3,0.026,5,2,n
4884,69,0.725,0,2,0.0,6,4,y
5261,75,0.705,1864,3,0.14,6,1,y
4952,31,0.107,0,4,0.0,3,2,n
7142,81,0.8,0,1,0.0,3,1,y
5185,38,0.31,0,3,0.0,4,2,n
451,21,0.5,0,2,0.0,3,3,n
9656,115,0.769,0,3,0.0,3,2,y
833,36,0.241,2037,3,0.304,3,3,y
6279,73,0.973,1054,1,0.567,5,1,y
6955,80,0.778,0,3,0.0,6,3,y
7970,36,0.5,0,1,0.0,2,2,n
8050,34,0.097,860,3,0.274,4,2,n
9769,74,0.762,0,3,0.0,2,3,n
4975,40,0.333,2294,4,0.985,4,2,n
8496,42,0.312,0,2,0.0,5,3,n
7973,38,0.52,0,3,0.0,4,1,n
9464,63,0.658,2517,2,0.527,2,3,n
7491,54,0.742,193,3,0.042,4,2,n
9435,74,0.805,0,1,0.0,4,4,n
6562,84,0.787,1966,3,0.809,6,3,y
6576,27,0.929,0,2,0.0,3,3,n
1433,34,0.619,1435,4,0.475,3,1,y
4324,66,0.65,1080,3,0.089,3,3,y
6991,79,0.549,1384,3,0.358,3,1,y
7331,42,0.355,0,3,0.0,1,2,n
9795,89,0.978,2517,6,0.073,5,3,n
1602,33,0.179,0,3,0.0,6,2,n
1309,54,0.862,1846,2,0.105,6,3,y
4655,42,0.5,0,3,0.0,3,2,n
6501,56,0.556,0,3,0.0,4,4,n
3514,66,0.65,0,4,0.0,6,2,y
7471,54,0.459,0,2,0.0,4,3,n
7676,39,0.345,2463,3,0.897,3,3,n
5191,42,0.312,0,6,0.0,4,3,n
9499,124,0.722,1893,3,0.244,1,6,y
7155,43,0.87,1963,2,0.391,5,3,n
6155,44,0.375,0,4,0.0,5,2,n
9926,79,0.646,2517,4,0.387,5,1,n
6097,74,1.056,0,2,0.0,5,3,y
6632,77,0.925,1671,2,0.552,5,1,y
7649,40,0.29,1853,3,0.995,3,3,n
7730,77,1.026,1434,3,0.818,2,2,y
2136,46,0.484,0,3,0.0,3,4,y
598,22,0.692,361,3,0.251,4,1,n
6367,46,0.586,2517,2,0.867,3,2,n
5286,84,0.714,1151,3,0.178,3,3,y
6273,80,0.86,1775,3,0.098,5,3,y
6345,43,0.72,0,4,0.0,5,3,n
9877,68,0.744,0,3,0.0,6,3,n
5312,29,0.381,931,4,0.315,3,2,n
2511,26,0.733,312,5,0.217,2,3,n
6299,54,0.636,0,3,0.0,3,1,y
7284,45,0.552,0,3,0.0,6,3,n
5746,70,0.591,1607,3,0.115,6,3,y
1201,42,0.556,2468,3,0.722,4,1,y
9422,112,0.623,777,1,0.125,1,1,y
6768,83,0.766,728,2,0.475,4,5,y
5170,58,0.812,0,1,0.0,4,3,y
5938,39,0.625,0,3,0.0,6,3,n
3551,75,0.667,1291,3,0.342,3,1,y
4083,40,0.29,321,4,0.093,1,2,n
2292,20,0.429,1696,3,0.765,1,3,n
627,78,0.56,1040,2,0.337,6,3,y
9382,90,0.957,0,3,0.0,4,3,n
5410,58,0.933,686,4,0.07,4,2,y
6066,39,0.345,1340,3,0.45,3,3,n
3978,69,0.605,527,4,0.185,3,2,y
9021,104,0.651,1096,1,0.137,2,3,y
4101,61,0.694,1492,2,0.598,5,2,y
6029,81,0.929,1270,2,0.348,6,3,y
6322,78,0.529,0,2,0.0,4,3,y
